,newid,event_code_new
202,37533.76193,.ff.s.fs.bsssSssss.f.fssppppsSpppSpssssssbffsspsssss.fsSpppf.ssfSsppsssSpbb.
204,38165.9111,bbbbbbbbsebsppplbbbblbbsbbbspspeppppsbfffb
206,38198.90786,bbbSllsbcf.fb.s.p.
211,38746.69317,.ppbbbb.i.b.bbbb.bbb.
212,38838.31669,SeSSSSsSSSssbpbbcSSsppsspssp.sppppspssp.Sbblbbfcp
214,39032.02247,.sssss.p.b.
215,39062.35099,nnf.s.fpccc
217,40285.10768,SSSpSSS.p.S.wbbbb.bsbbfppSspp.pS
218,40654.86137,bbbbf.fbb.c.
219,40754.95061,bbbbbbbS.psSS
220,40761.79117,.ll.c.ccccn.ccbbfffwpsffbb.p.sp
221,41117.04882,.pS.ss.eps.s.fspss.s.ps.s.s
222,41397.99625,ppwsp.sssspwppppppppssppspswsswws.sppwspsw
223,41438.89528,bbbbbbbbbcccccbbcbppfnnn.
225,41602.17475,b.psppssbppppp
227,41922.71736,ssssSsSSSp.sfppppssps.p
230,42138.03448,SfbSSsSSSsSssSpSSpSsSSssSsSsp.sS.pbsspsSsSsSsSsSsSsSssSSsSpSSS.spSSfSSSSSsSSSpssS
232,42425.02153,l.lspss.b.swbsws.cbplbbbb.ssssSsebbblbllblll
233,42648.5762,b.f.nspb.sS.bbb
234,42679.52405,wss.wp.psws.bSp.pspSsppsSsSSpssp.sppppps.SfswpS.
235,43019.30778,n.blsssspsspppp.fsepppbbbbbbn.bb.
241,44848.416,bbbebSSlsSssS
242,44910.49331,.p.lfsSsp.sp.psp.p.c
243,44968.15149,ppspppppp.sp
244,45159.15643,eSpsSspbbbSe
245,45676.23138,SSSSsspppbbSsssSsSsSSspeSp.p.bbbb.f.b.b.b.b.b.s.S.lbb
247,46328.59491,pppppppplcwpe
248,46719.70848,S.S.lSfbbfffspp
249,46907.22097,bssSppSp.sb.b.bbb.
251,47871.52633,.tttbb.b.t.fcfcccbb.b.bbbbbbbbbbbbbbbbbbbbbbbbb.bbbbbbbbbbbb.bbbbbbbbbbb.t.t.t.nf.t.bb.b.t.t.tssss.
252,47880.33664,sffsp.sSssffsnnnnnnn.bs
255,48716.23591,sSssSSSpsSpSpspSpSSsSpppsSsSsS
257,49262.21911,p.p.bb.bb.psppsss.wssp
259,50007.21198,bibSSpsSsSp.pSSSSsSssSSsSSSppppsSsSSSSpcc
265,50690.90053,ss.cb.nnb.bf.p.ppscsssssspnf.ppp
267,50714.7098,.sssSsSSSssSSppSbb
268,50979.4848,ccccccp.ccc.bb.
269,51160.68758,.sbSbbSblbbbbbsp
270,51240.97224,.SpsSpspp.pppppppppb
273,52932.78024,ppppppppc.sSsssssppssSSssSSsSSSsppSsplSlSSlc
276,54665.68749,pp.sSSSsSp.se.bbsSS.pspp.Spb.
282,55648.18624,.S.ssplbwpss.
289,57197.86976,.bbSlswlbbp.slf.lbb.
291,57668.52293,pssssppp.esssp
292,57671.33087,sswsswspb.wswsswswsssll.bb.bs.sc.wslbsssllsSlwSlllllllllllpwppp.
293,57712.09951,bbb.bbspspp.fsssspssssssssssssbbb
294,57852.30082,.spppppppppppSwsspp
299,59456.52258,spss.wsspsssSs
300,60054.24075,.sssssssbbsss
301,60141.43117,.pspw.swpwspp.
302,60187.31277,ncbfcb.cb.bcccib.b.ccnfp.cfffbfbcccccccccccccccccs.pfp.ff
303,60545.5786,bbbswsS.lbbbc.bbc
306,60976.0778,bb.bb.bb.bbb.
308,61408.08109,.sep.sssssssssessssseswpsw.p.wsssssssswsssssssssssss.slswssspsw
312,61848.90866,lwsl.pslwlssnfsfs.fscc.ccc.sb.bb.bssffsp.bbbbbblb
313,62031.19643,lSlblSssssflsSbbbbb
316,62489.64928,l.ccffffnnnnc
317,62705.41809,sssppsppplppp.Sl.b
320,63078.58508,wpwppswpwsfssss
325,64387.21903,btttttf.bbbbbbb.c.bi.p.spnnc.cb.
326,64392.27611,ppp.s.sbs.sswsppp.pppp
327,64579.09476,wsssppwsssws.ps.pp
329,65248.53874,.bb.pbSppfSSSsSSSSSSpppppppp
331,65394.07186,bp.f.spp.ppp
335,66795.8986,.p.pppbbbbbbb
336,67205.29869,c.n.b.lb.b.lc.ccnbnn.fb.
338,67447.29355,ss.pwlnbnnbfc.n
340,67847.54805,b.fss.bbbb.fbebssp
344,68325.18149,ssSssSSsSSp
347,68516.6195,.wpwwppppbs
348,68931.17446,.bbbbsssssbsss
349,69128.97341,c.cccccc.ccs.cccccnnnn.cc.ss.f.sspsc.bb.ccccbccc.sssppbb
351,69279.51705,b.sSpsSsSsSSss
355,69786.72463,p.pssspp.pppppppp
358,70235.71059,.SppbsSw.pwspp
359,70272.87502,fc.ccfbc.nSssSSppSpSsSpppppppppppSsspsppSsSslcccccccccccc.cccc.nbnc.ccccccc.bb.f.b.b.bbffb.bbcc
360,70442.3897,.bbn.b.vbfbblpwppsefpf.fffbl.bbbbbbbbff.b.fbf.psppppe.fpnfbb.nbf.psf.s.c.b.bb.fbf.f
362,70762.97421,.bb.ccll.bb.slbbbbfpp.f.bbn.fss.bb.bbbn.bbibbbbbbb.cnb.b.cf.bc.bbibbb.psss.f.fbbbbcb.s.bbbccc.bblpebbbb.b.ccbbbbbb.bb.bb.bccbb.f.fff.bbbbbfcc.cc.bn.f.bb.b.bb.bb.bbbnf.c.bc
363,70782.62046,.sss.b.s.pfbbpssss.
364,70884.25569,wslswpwssspse
365,71279.50899,SsSsSsSssSbbbb
368,72323.56817,wppwpsppppps
370,72652.44145,wspplssspswsp.
372,72997.94815,.n.bbSsssS.lSb
374,73621.01227,.f.ss.pswppp.wssws.ppppp.
376,73913.3684,bbSlSlwpssw.wpsspss
379,75020.2639,.b.leswssw.b.s
380,75088.09678,ssspppppps.
382,75491.89497,.ssss.f.sssspsss.cb
384,76250.31285,fSfS.sppS.Sssp
386,76649.37526,.bbbeseees.sSwsse.sswsp.sl.bsss.sebep.pps.s
388,77498.20594,ccc.pppppppppppplp.bp.sppss
389,77503.66349,.c.ssllSbbb
392,78251.00329,SSSSbSsSSSsppsss.pppsppsppssS.
393,78724.64601,sssssbblblsffebbbbfs
395,79134.37672,S.bS.wssewwssspsppsssssssssp.bbbpsp.sp.w.pswp.ppssp.SwpSwSwws
396,79216.87327,wssssfsepsp.ssppwpswps
398,79467.13828,fsssssfffsp.
400,79604.38263,ffppSSlppssespps.
401,79972.17588,p.sessswpllppbspbspwpspswppspsspsbssssppspb
402,80379.46653,l.SSb.bpspffbbcnnnn.
410,81836.3158,ff.bb.l.ppp
411,81894.76095,.n.ffwsbb.bn.fff
415,82566.55652,b.bppcnnnnnfcc
416,82638.65951,sSsSSpsSpppSs.sSSSsSspspppsSsSSSpSeSspSpwbSSSSpSSwsSsspSpSSsSsS.bsSSSsSSs.SsSsSpSSssSpsSpsSSSSsppsppppppppppSSsSppssSSSss
417,82769.90149,b.b.b.bn.b.cb.c.b.b.bbnnnn.
421,83036.70678,b.w.sw.ws.bb.ssssss.bbbbffpswlbb
423,83269.5514,sssS.SspSsSSsS.SSSp.
425,83385.4638,b.bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbss.bbbbbbbbbbbb.bbbbbbbb.bbbbbb.b.b.bbss.
426,83447.08011,wsccc.p.f.s.sppf.c
428,83558.08444,.bb.f.bbffffss.
436,85573.97872,.ccb.sb.pp.psppps.lpsssssssspppp.pp.ps.p.bbff.f.bff.sspsp.ppp.fp.spsps.f.p.f.p.pf.pp.sfpp.pf.p.s.s.spp.b.b.p.pf.n.
439,86087.36563,.p.bbbbssssspw.
443,86707.09096,.c.scffsppfppppfppppppfpfffssff
445,86851.4413,.lbbbbsws.p.s.l.
449,87634.03166,lbbbb.bbbsbbbbbbbbsbbsf
450,87674.24151,sspsssppppbbS
457,88013.7505,bbppspwlb.b
459,88223.05128,sw.ws.ppc.pb.
462,89357.22057,pp.bbb.bbfl.bcbcccc.
464,89706.27561,.bvb.i.lp.p.n.c.f.pe.s.ppc.ppf.sbnb
465,90163.50377,bb.bbbbbbbbbbbbbbbbbbbbssbb.ib.bbbv.bf.fbf.ssfbbb
466,90505.49939,s.sspsfppp.
467,90558.51959,bb.bb.f.f.s.f.fp.ffs.
468,91266.03603,swsb.ppssSSc.Sc.Sbbb.bbSl.S.ccccc.SbSlSl.c.lS.ccSbSb.s.s.cSbbbSf.SSSSpSsSsS.sSSS.SSSsSp.SSsSsS.sSSSs.pSsSsSsSSsSssS.p.s.
471,92552.25305,nn.nnncc.bn.
474,92863.68731,ssslspswsppwppsppppwpswsppsslb.
479,93757.44965,.sSs.SsSssSsSpSsSpps.SSppsSpsSssl.cccc
485,95070.33508,wsp.spwpsssswspsppppfp.psspfs.s.bbsff.f.f.f.c.
493,97050.06145,pssppss.pss.
500,98261.96823,lpl.bbpescb
501,98344.16676,bbbbbbppspn.bb
502,98440.54002,sssSSsSsssSSSSsSsSsSsssSe
514,100425.3747,.b.SSeSlllSbbbbbfsp.ppssppsppSswSSswsSwspp.p.
520,101475.3012,l.b.bbbbb.lbp
521,101521.0897,swsssppssssppsswsspsspppSpss
525,102282.7392,pssspppppsspp.p.spbbbppp.b.bpspppsppswpp.psp.spwsswpsslbb.bbspppp.
528,103479.8333,Sbbbbsssssssss.bsspbbbbbbl.bb.b
529,103552.239,cccccccccbbss.ccncc.f.
533,103853.466,f.b.bb.b.SSlSbssfsss
534,104757.5381,.ppssssspppw.p.SfSwp
536,105173.5785,.bb.ssffSssfSSsssspp.bf
538,105473.5156,.bS.SSsppSsSpSSpspspsS.sppspSpspsSsSpsSpsSlpSp.SssSSppSpSpSppppppplS.sSSps
540,105497.539,cb.fpppppsp
541,105531.998,ssppSpppp.ps
542,105777.2711,bpp.ib.b.bb.b
552,108114.02,sssnnnnnbbbbb
554,108535.7694,.b.fwsssffSssSfssfffssfsbwssbffsfbwssssssssSsspssSsSs
555,108804.2185,.bn.bbbbbbbbbbbbbbbbbbbbbbbbbbbbb.bbbbbbbbbbbbbbbfbsttc.fnfbbbn.t.bnnnnn.nnn.n.bbnb
556,109333.6195,sSssSpSssSSSSsSsSSSp.sSsssbbb.pspp.p
557,109437.6436,bb.nsslfsssp.
559,109576.3128,ssssSsssfssfbbpss.pwpswssssssssssssfsssffs.sswswssspspwp
562,110664.2373,.pplbSsS.SSsSssS
566,111524.3603,.lbswssssssnn.b.bbb.f.s.ppsspspppppsppssps.ssnnn.pb
568,111543.5921,cccc.bl.c.bbb.p.bb
569,111592.3142,cbnbbbeswlbblpbfbbbcffflseplbbblf.pp.bblcc.bbbbnnnbbbbbbc
570,112339.1371,.ss.lSSlellSSlSsbbslbbbfslbssssSbfbbSsSp.sss.s.
571,112433.9178,S.pfbibfbbbbbb.f
577,113342.0784,.bffbpbbbtnbb.bpssbbbb
579,113448.5332,.lcS.bb.f.nn
580,113547.1091,sppspspsssspsssssspspssps.s.
582,113949.6267,S.spSpsp.ps.Sbb
583,113992.6119,ssbssssfs.Sp
584,114293.8063,S.S.cScpbbsslffp
589,115282.8708,SSssSSssSsSpS.pp.pSsSSssSSSSSSSsSSSsSSSpSSSssSsn
591,116473.9253,ss.SssSfSfsspsssp.ws.p.fps.SspsSsSSss
594,117284.1201,ppp.SpSp.SppppS.pppp.pp.spsppss
598,119064.4037,bb.bbbb.b.l
599,119189.0193,csssplbbllpcpess.p.pppp.s
602,119525.4549,pf.blpp.pc.psp
603,119814.9519,pSs.ppSSSsspppSsSSspppSSsSppSssSpSpssssSsSSSp
605,120490.049,.s.sspsspSsfsSSsffs
607,121001.7269,.Sppsppppppp.S
609,121518.732,.ntt.b.n.nbfntttnb.t.cn.t.tSSSlfss.bbbcb.f.ppp.SsSssSSSf.fs.pSsSsScf.fct.tt.t.c.f.t.f.b.bbb.b.b.bbnt.t.fbbb.b.bb.t.bbbbb.bft.bt.
610,122114.4153,epepppppbbbbbsseblbbcb.b
613,122523.1402,SsSblsp.ppssssss
614,122550.2929,.lswsssspbbbbb.swppp.ppbbb
615,122949.2761,spp.pppee.seeepesse.b.b.b.b
618,124177.0433,pSspppspsS.s
620,124504.9015,b.b.ssspppsppppp
628,125127.0389,spSsSlSsssssppspspssss
629,126246.0137,s.b.bbbbpesspsbsbbf
630,126441.2282,.bbl.spssps.ppbfffsssseppe
631,127415.522,f.ssppffssp.ssssspspppsppspps.sspffpppp.pppppppppp.sspb.pp.l.c.nslpwp
632,127599.3604,SSssssbsf.n
636,129589.783,sp.llf.fnncccccn
640,129860.9143,.Sb.bsssees
641,129903.3361,SpsSssblsSsSsSsspSSssSss.psSc.c.bbbb.SSspb.bbpppelpp.pp.fpppppspSsSSlp.ssppllSlSssSsS
643,130684.1103,.bssSSsssppsssp
647,132104.2841,.b.b.bb.bb.b.bb.bbb.fSSp.
648,132344.3744,ssp.sssSSsSpspSsSppsSssSsSSssSSsSssSSsSSSssSSSSSsssSSsSSsSssspsSspSsssSbSSbblp.ppppspssssspsspeppspsppppppppppspss.p.ppepp.spssspsssss.ppp.spspsp.s.sspsppppspppppppppppppppppsspspspssspspsSlssSs
652,133438.7204,.eSpSsSssspppppppsbSp
654,133464.3178,.wssspsps.wssswsssbssspppsssb.ln.bccccs.nbbsfs.cn.fnnnn.
655,133473.7707,.bbblp.psbssbsp
656,133522.4556,f.bblps.epbbfpf.b.sppspspppbbSsb.ppesssbbbbsp.p.p.sc.ppps.f
658,133891.4363,ssssssssssssssssssssss.
659,134310.28,ccc.bbbbbppppp.pp.
661,134724.9001,pbbfbsppe.pbb
664,134829.3293,lsssS.bbS.pppSSlsSSssSpssSsSpSsS.nnnn.bbS.Sb.SpsspppppppspSSppppppps
665,135278.2035,sSssSSSSSS.
666,135901.9149,.f.pc.ccc.b.sbbnnffb
667,135972.4021,fpessppsSSSSSsppssspp
668,136197.5167,.bbbbbbbbcnnnnnc
670,136259.8129,bn.fs.bb.b.f.b.
671,136873.0981,b.bb.b.lfff
672,136898.7188,s.fcccccpcfscbc.sc.bcc
673,137261.0405,.bbbbb.bbss
675,137485.7826,.bsSSsssSsspbSfp
679,137626.4915,.pp.S.wpwsswSpS.wspwsssSspSwpSpSpbsssssss
681,138008.6644,SlpSp.wssSbbeSS
682,138119.9062,seSsSS.pSSpe
687,139458.254,blbpllllllccl.
691,139926.4159,.ssspp.ssppp.s.SpSppppSpSpwppfbbfspSsswp.bssspppS
692,140004.5678,fpfswpspswspspppsppppwwSppsSwl
694,140512.4972,SSSSpp.ppp.pssppSsSpSpSs.sS.SsS.s.sw.Sppp.sss.sl.blwewsppsssssssssssbbbfeppwssfpspsSpspSSsspsSsppppp.
695,141004.1749,Spppbnni.f.ssbsSsp.ssp
707,144791.049,tbb.bbbbssptnnn.bbbbbbsb.b.bbbssspp
710,145440.6651,.wssssspp.bbbbbb
712,146181.0293,Ssspsb.b.s.s.
718,147720.9339,.lllfeffpppp.pf
720,148003.8045,f.fsf.s.f.s.ssssssSpffff.f.sb
722,149179.8647,ssp.b.ppseeb.sss.s.c.llSsl.bSbSbbbbb.
727,149716.3763,fff.fn.f.f.spfppssf.pf.bbbbbifsbbbin.ccff.ssspps.ssssssssssps.pp.sp.psssps.spspp.psp.spb.f.pppf.
728,149747.9202,lsspelfsfs.ssp.bbbccccccccccccccccccc.pp.bb.f.b.cc.b.
729,150257.9963,.c.cccis.s.s.bb.cbb
730,150395.6271,b.ffbbblfbllpppp.f.i.b.bb.bbbbi
731,150404.1115,f.fpssSpppsSppSbbb
732,150434.1094,bbbbffpwf.fc.c.pp.pp
733,150467.9676,bssbbsssssws.ssww.s.b.bbb.bp.p.
734,150612.3366,bspfepppppspp.ppp.
735,150790.7361,.wpppsw.bsw.s.
736,150959.3939,ssws.ppsl.ssppwwssssp.p
737,151278.5815,.plb.spps.p.l
739,151587.5058,bblbbl.ppeppspppwssspppwssp.pssspssssppwsssppssbs.pSs
743,152110.5599,.psSsSpsSsSsSpSpSpSsSfSp.pbbssbbb
745,152349.961,.p.pSsll.lll.bssss.ppspb.sselssb
752,154115.4599,Sbssbb.s.ssbbbfppp.
756,155028.2724,wl.css.cwspbbbb
764,157057.9968,f.pn.bb.ppfssS
765,157236.6757,.c.cc.sSsSs.s.bcb.lsssssesec.cc
766,157393.9016,s.spswpp.sfebbseSffssfSpwsssbbppppsppsspp.spew
767,158344.6003,.n.ssspssssssssssesspsbSsswbs.t.
769,158685.5482,swpspp.bppwspbbbbnb.b
770,158991.1385,sspl.S.SlSsssplpw.sSpw.sffspp.S.swSssSsSpsSwsl.SppSSppsppssppsp.c.sccSl.sSssss.p.sswl.ssSwwS.S.l.Spppsw.SS.l.lssssssl.fsssspss.l.sspspllsspssssssssesll.l.SSpppppwssssSsweeeeSwpSpff.lssssssSssssSsS.slflS.ll.sS.SSpS.p.ppsSwspppp.p.lww.lSsfsspsppspp.sSwsSSp.A.Aswl.s.lSsSpS.p.pSsSppSpppsSp.ssppppppsppppssspppp.ss.sSSsSsSpppp.s.p.p.bb.b.pps.bbbbbbbbb.sSSSSSsS.sspspwpp.ssSssfsss.seppwsss.SSl.Sl.lSSSpsSsS.c.lSsslsfSSl.cc.c.clS.sffS.fss.fb.l.fsspsssl.sssSsls.cl.c.c.c.llSl.SSll.Ss.sppwsspw.fSsS.SSsps.l.SSl.Slc.wpssssssssl.ssppswps.llpssssl.lfsb.fsssspppllsll.lSsspswsS.p.l.lllplc.fSssppl.lllSl.wsw.cSsp.f.fcSl.spspspssppslSssf.sssp.clfsll.SSfsp.f.lS.ssss.SppSwl.lSSsl.wSpl.p.lp.p.Ss.S.SS.l.wsw.ssppss.pssppssppws.lllsll.lcSffsspp.cfpw.fswppsSppSpppspl.sc.cSffSfSS.SSpSSsppSssssssSlb.sw.SspppsppppSwsssclssl.cSSsp.sllppfw.lfwppplppsssssSpswSp.psssssspsssfpswppppppssppsll.lSSl.Sssp.p.l.SpssS.pps.fSlseSlws.llw.llesssSSwssssspspSl.lsssslppppplSlSlswSpSfss.S.pwswsspswlwppplsswlfpppppw.wplslSssspplpswsp.spssssssspppppSpfsssSspssp.Slssppsslpss.pssSsSppSSsSSSSsSslpSspSpsSlfswspSwslspss.wSSSwSlSppsfsfssssssslsl.ffs.lpppplpeppsppppspsppspppssssssll.sSSsSl.bsSssSSSeswsssSlslssssSSlSsSSSpSpsSSsSSssl.cs.cSpffpp.c.pl.ls.l.c.fsS.SlS.lSp.eespSfslspfsspw.sSsslslSSlfwSS.l.lf.nl.ss.p.ppSS.lllSlSssssplllppp.swspSssssssspssSsp.lSlffffl.sslllppssssplppppspw.pspppppws.wssp.psssspssl.ssslsss.s.fssssp.Sssspppp.pfssswpws.SsSSSSSsSssspsppspppSsSsSsSSsSsSSS.wfssSsSppSSSsspS.bssssSSpssslfspfpsssssssssssssssspswssplSlllSllplSSlSlSplpsppSppwffswssssSlf.fswsspS.lsplwlfsssllwlfssSwpp.spps.sffp.SppSpSppllSSlspppp.bbfffsSsSlfppsfssl.fslSwss.fflSp.p.pps.f.sSsSsSpsS.sppspffsss.s.s.sspsSSsSssps.fswpfsswssfs.slflllllfswsslfSsSSsSSslSlsssssslpp.spfs.ss.fsssSs.pp.ppspssssf.sSSplffppw.ff.p.fffStnt.ttttttfsSsS.psssp.sspsssss.p.sssssssSsSSpfwssssSsspfSfsppSp.sfwfSfsSpspsw.bSfp.fpp.fsfs.pp.sppspppspsspwppppspwsSsSsp.pSssssppsppppfsSSpSpSsffSspsffwpSsppfwpffpswp.Sss.ppssppsswsseSsw.pppspp.sSsS.fssffsffssSSsswppffSpppssspf.f.p.sSS.ppwSSSsSSppss.Spp.p.sssppssppSsppppw
772,159248.0112,effseffseppps.bf.
776,160891.8933,.fppp.SppppSpSp.SSSp
777,160954.101,sbsssSSSSsswsssfpssSpsS
778,160975.3864,S.c.S.cc.bsbbSsssssss.bspSspSwspwSSSppppppppbbbbSsppsp.p.ppp.pp.pw.p.s.Sss.S
782,161799.5882,.ss.fsspps.SSS.SssSS
783,161839.8447,.sSsSSssfSsbs
785,162216.7183,.p.wspswpwsssssssspS
787,162613.3546,.f.f.f.b.bs.bb.bbb.bb.bb.ttbs.t.fft.t.b.t.t.b.bb.t.c.sp.bbs.bb.b.t.t.f.bb.fbbf.b.b.b.bbpb.bbbbtt.t.t.t.tt.ttt.t.t.t.ttt.b.bct.b.b.b.b.bb.bb.bbbb.b.bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb.bbbe.bbbb.b.b.b.b.fb.fb.S.bbbb.e.bbb.b.bbbb.sp.psspsssspp.b.
788,163324.9922,sspppppppppb
789,163719.9242,b.bssssppssssbbpesppsppsspspppspspsl.fsp.s.pbssspbscc.sfspss.p.cf.sfssspw
790,165507.3045,fef.f.ff.f.p
791,165813.2719,ssp.sppp.ss
793,166231.4869,p.pp.sp.sssppssssssppppppppp
795,166343.092,.pppfppfffssp.ppss.ps.s.ppp.psp.s.p.pppsps.psp.pp.ps.ppssppsp.p.spsssp.
796,166792.1012,ssp.ssp.p.bspep.p
797,167008.806,SbSlbbbbbbn.SSlSbbb.bbbb.bbbbbbbbbb
804,168216.154,sppsppppppppbbsepppppppppppppp.sppspssbspppplbcnn.
808,168971.1958,b.ss.p.lbb.ps.ppes.lbl.p.lss
810,169343.981,.SS.p.pp.bSsss.
812,169730.0747,.bbbbb.ssss.s
814,170048.5684,SSSsssspsSspSpfSSssssssSfs
820,170981.125,.fbbb.bb.c.ff.f.f.f.sbfpsccccccccccccccccc.pccnfpf.s.f.pfnnnb.f.ffs.bbnf.
