,newid,event_code_new
80,13271.79372,pfsSwspSwspSwfswSfswSpSwsSwp
81,13304.47383,l.l.l.b.sw.c.
82,13446.91496,.c.S.fSlspspsp.pS.sSsSsSsSpSsSsSsS.pSsSsS.pS.bps
83,13719.08467,lb.b.b.b.
84,13958.94215,sfsp.p
86,14351.24315,fp.p.p.p.s.s.wsps.pspspspspepspsws.pspsp.p.
87,14484.96245,fspfewewesb
88,14569.82922,b.b.b.sws.b.s.f.f.b.b.fs.
90,15074.09383,lpbcS.cS.cS.cS.cS.cS.lSbp.p.p.Slb.bSlSlblS.S.lSbS.lSlpS.S.S.sb.S.cb.b.b.SlSpfSes.p.p.peSs.pb.fn.bn.n.b.b.b.b.b.b.b.sp.sp.p.sesps.pspsp
91,15146.43431,psp.slspsp.psp.psp.pspsp.psp.p.ps.p.p.sp
92,15220.27887,.wsws.plbl.pelel.f.f.f.f.n.n.nbfb.b.bf.f.b.bn.sp.s.f.pf.c.f.f.p.pf.f.f.s.spsf.f.spsb
93,15254.96133,Scp.bfbf.p.p.b.pbfp.
95,15810.04821,l.bswp
96,15842.05776,SsS.psSpsSpSpsSpS.psSpS.psSpS.psSpS.pb
97,16058.25499,bnbn.nf.s.fwefsps.psbn.n.n.f.n
98,16349.59597,lSsSs
99,17557.58189,c.bSl.pb.
100,17710.10924,.cS.p.p
103,18377.55088,b.pb.t.f.b.btb.b.bn.bt.t.tftbp
104,18691.79774,psp.p.pSl.f.f.sps.f.sps.fsp.psp.psp.pspfSp.p.Sp.Ssfp.p.pfspfpf.psp.p.p.p.sp.psp.pspspsp.pspsSp.pS.pSp.spf.c.b.
105,18751.54208,nf.s.bswspfb.bswpswpb.f.cb.nfbp
106,18921.59227,.S.b.lSb.fp.sf.p.p.p.p.bSl.
107,19193.19853,lpbSlSlSlbfb.bfn.nb.c
108,19875.82073,swpswp.psws.p.p.psSp.psSsSpsSp.psSp.p.s
109,20195.83713,spsps
110,20555.26245,s.ps.psp.p.p.pfSepepbn.ncfcb.
112,20825.31806,SsSsSspSesSsSsSswsfSsSfsSsfws.p.
113,20925.547,SfSfSsSsSsSpepep
114,21018.58146,pSpsSlsbpSpSpspSb
115,21067.28964,.bSlb.S.Slspsb.bcn.i.n.b.b.
116,21392.86604,swspspspf.s.f.f.spsf.f.f.cbf.f.f.f.f.p.f.b.bf.pf.pf.p.pcf.f.pnb.ib.f.f.p.spfs
117,21452.35427,bSlbsSsSsSsSsSsSp
118,21533.07665,sps.ps
119,21891.30057,eswpwspswsSsSsSsSsSsSsp
120,22011.78577,sSsSsSsSp
121,22507.56137,lwswspSwsfl
123,23099.09556,fSsfsfs.
124,23121.7267,SsSspsp.p.p
126,23632.45469,wslfSswpSpsweswpSpws
128,24089.24047,eSsS.Sp.pswpSeS.p.ws.s.p.b.
129,24158.3446,sSsbsp.pspsp.SsSsSsS.
130,24333.05141,p.pf.p.p.fb.b.b.b.b.
131,24371.41258,p.b.b.fn.n.b.c.n.n.i.b
132,24374.79794,sSsSsSsSsSsSsSsS.swesweswesew
133,24825.93525,.cl.blswlsSeb.p.pl.c.clcb.b.b.lblb.l.blblblbl.bl.lblb.l.blfbfwe.b.b.
135,25138.86429,sp.SspSpSp.Sp.pswpSpSp.swpSwsSpspSp.pSspS.pS.peS.psSsSsSsSpSp.SsSsSsSsSsSsSpblS.plbsbls.pSspsp.SpspSp
136,25159.65607,wspswpsw.
137,25416.96653,.sSsSsSsSsSepepbSlSspespSfSfSfSb.n.nb.
138,26130.5226,.lS.lsp.p.SfpeSfSfSlSfSfSfSfSseSfSfSlsesfSsbe.fpb.bi.s.p
139,26159.32841,wpswpswsp.psSsSsSsSsSsSsSsSp.p.pSlsp
141,26366.95281,.cS.c.Sc.S.S.S.S.S.c.Spb.p.
142,26599.55062,sSsfsws
144,26621.29235,l.pb.sps
145,26710.76916,f.fbn.bsSp.bnb.f.p.f.b.nbf.f.f
146,26841.86678,spncn.nf.f.fs.spsSswSbibn.f.f.f.f.p.pep.fs.sf.ps.fs.sfs.spsf.s.spsps.p.sf.s.p.p.s.f.p.fbc.cnb.b
147,26862.15565,fSsSp
151,27970.86257,bsSlSbf.fbn.s.s.i.bnbn.i.c.b.bvb.
152,28033.33569,p.sSl
153,28594.8161,sSlp.b.Splb.b.
154,28821.72354,sp.pswspswspswspswspsS.Ss.sS.sp.psp
155,28937.92,.sSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSp.
156,29030.65644,blslslb.b.
158,29217.5496,.bfsws
159,29395.50206,pbsbsbsws
160,29532.31335,f.s.s.fsSsSsSpsSpsSsSp.s.psS
163,29780.03118,pf.f.f.lsw
164,29956.15825,lbsSsSsSsSsSsSp.p.p.p.pSsSsSsSsSsSsSsSsSsSsSp.p.s.pe.p.p.sSsSsSsS.p.p.p.ps.ps.p.sp.psp.p.sSsSp.p.p.p.sp.p.p.sp.s.p.sp.p.p.p.cfspfsfsps
165,30107.10236,SsSsSsSsSfwe
167,30343.57447,.p.e.p.b.
168,30543.46889,swsp.p.fbp.pbsbswspbsp.p.sp.pfs.b
169,30868.98476,sSsSsSsSsS.psSsSpS.psSsSpS.psSpS.psSpS.psSsSpS.plsSlsSsSpSp.sSsSsSsSpSp.sSsSpSpsSsSpSsSsSsSsSsSsSsSsSlbsSsSsSsSp.spb.b.
170,31063.10964,psplSl.lSl.sp.ps
171,31391.22389,SpeplSbeSlspsp.b.c
172,31488.24908,nb.c.bfnbcbswspspcbn.bcn.b.fn.cfbn.c.n.bfsfn
173,31636.05928,.bt.c.b.tspst.p.p.p.fsf.s.s.fsf.st.b.s.btbn.f.sps.f.i.bt.b.tb.t.nbft.nbfnb.nbtbtbt.bt.nbnt.bf.b
174,31653.19562,SsSsSswsws.
